Complaint Name,External ID,IFI Support,Sector,Issues,"If No Eligibility, Why?"
Empresa Electrica Pangue S.A.-01/Upper Bio-Bio Watershed,92,"Equity Investment, Project/investment lending","Energy, Infrastructure",Displacement (physical and/or economic),
Empresa Electrica Pangue S.A.-02/Upper Bio-Bio Watershed,93,"Equity Investment, Project/investment lending","Energy, Infrastructure","Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Other environmental",
Empresa Electrica Pangue S.A.-03/Mulchen,no_id_21_38,"Equity Investment, Project/investment lending","Energy, Infrastructure",Other,Unknown
Energy Access and Efficiency Improvement Project,no_id_25_11,Project/investment lending,"Energy, Infrastructure",Other,"Outside of mandate, Forwarded to other body within bank"
"Energy Loss Reduction Project (Rogun HPP, Tajikistan)",70,Project/investment lending,Energy,"Biodiversity, Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Other environmental, Water",
Energy Resources Phase II & Oyu Tolgoi,2013/01a,Project/investment lending,"Extractives (oil, gas, mining)","Consultation and disclosure, Cultural heritage, Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Pollution, Water",
Enhanced Vocational Education and Training Project,90,Project/investment lending,Education,Other,Good faith requirement not met
Enso Albania-01,240,Equity Investment,"Energy, Infrastructure","Biodiversity, Due diligence, Livelihoods",
Eskom Investment Support Project,65,Project/investment lending,"Energy, Infrastructure","Cultural heritage, Displacement (physical and/or economic), Due diligence, Human rights, Livelihoods, Other community health and safety issues, Pollution, Water",
"Esquema Cajamarquilla, Nievera y Cerro Camote",MICI-PE-2012-041,,Other,Other,Unknown
"Esquema Cajamarquilla, Nievera y Cerro Camote 2",MICI-PE-2012-042,,Other,Other,Unknown
Estrada Nova Watershed Sanitation,BR-MICI002-2010,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",
Estrada Nova Watershed Sanitation Program (PROMABEN),MICI-BR-2014-083,,Other,Other,Unknown
Estrada Nova Watershed Sanitation Program - PROMABEN,MICI-BR-2012-038,,Other,Other,Unknown
Estrada Real - Network of Tourism SMEs Mina Gerais State,MICI-BR-2012-043,,Other,Other,Unknown
Etileno XXI,MICI-ME-2013-073,,Other,Other,"Good faith requirement not met, Not desired by complainant, Outside of mandate"
Etileno XXI 2,MICI-ME-2014-080,Project/investment lending,Chemicals,"Labor, Other community health and safety issues, Other gender-related issues","Good faith requirement not met, Outside of mandate, Not desired by complainant, Outside of mandate"
Eurasia Tunnel,SG/E/2011/10,Project/investment lending,Infrastructure,Due diligence,
Excellon Resources: La Platosa mine project (2011-01-MEX),2011-01-MEX,,"Extractives (oil, gas, mining)","Human rights, Labor, Other community health and safety issues, Violence against the community (by gov't and/or company)",
Export Development Project (not registered),59,Project/investment lending,Manufacturing,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Water",Funding and/or consideration ended
Expressway (E35) Project - PAK,no_id_25_7,,Other,Other,Forwarded to other body within bank
Faisalabad-Multan Motorway (M-4),no_id_25_13,,Other,Other,Forwarded to other body within bank
Ficohsa-01/ CAO Vice President Request,209,"Equity Investment, Project/investment lending",Other,Due diligence,
Ficohsa-02/Tela,243,"Equity Investment, Financial intermediary",Other,"Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Livelihoods, Other environmental",
Fier Bypass,SG/E/2014/06,Project/investment lending,Infrastructure,Displacement (physical and/or economic),
Financial Intermediaries-01/CAO Vice President Request,no_id_21_56,Financial intermediary,Other,"Consultation and disclosure, Due diligence",
Financial Intermediary (FI)-01,231,Project/investment lending,"Agribusiness, Other","Displacement (physical and/or economic), Human rights, Pollution, Violence against the community (by gov't and/or company)",
Financing of Hydroelectric Dams in the Bio Bio River (not registered),5,,Energy,"Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other environmental",Outside of mandate
"First Quantum Minerals: Mauritania Copper Mines (""MCM"") project",2011-02-MAU,,"Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Labor, Pollution, Water",
Flexenclosure,no_id_21_85,,Other,Other,Unknown
Flood Emergency Reconstruction Project,8,Project/investment lending,Infrastructure,Other,Unknown
Floods Emergency Recovery Project (P152018),104,Project/investment lending,"Conservation and environmental protection, Extractives (oil, gas, mining)","Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental, Pollution, Water",Outside of mandate
Forest Concession Management and Control Pilot Project,36,Project/investment lending,"Forestry, Regulatory Development","Consultation and disclosure, Cultural heritage, Due diligence, Human rights, Indigenous peoples, Livelihoods, Other environmental",
Fuzhou Environmental Improvement Project,9-Jan,Project/investment lending,"Conservation and environmental protection, Infrastructure","Displacement (physical and/or economic), Livelihoods",
GAC-01,no_id_21_66,,Other,Other,Unknown
GAL,no_id_21_30,,Other,Other,Outside of mandate
GEF Streetlight,no_id_21_24,,Other,Other,Outside of mandate
GMS Mekong Tourism Development Project,6-Jun,Project/investment lending,"Community capacity and development, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Livelihoods",Good faith requirement not met
GMS Rehabilitation of the Railway in Cambodia Project,no_id_25_22,Project/investment lending,Infrastructure,Procurement,"Outside of mandate, Forwarded to other body within bank, Outside of mandate"
Gazela Bridge,SG/E/2009/02,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Other",
Gazela Bridge Rehabilitation,SG/E/2009/07,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence",
Gemax & Lemna,no_id_21_40,No IFI involvement,Other,Other,"Outside of mandate, Outside of mandate"
Gender Discrimination,no_id_21_21,,Other,Other,Outside of mandate
Georgetown Solid Waste Management Program,MICI-GY-2013-074,,Other,Other,Unknown
Giavoni,no_id_21_51,,Other,Other,Unknown
Gibe III Hydroelectric Power Project,RQ 2009/1,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence, Livelihoods, Other environmental, Water",
Gibe III Hydropower Project,RQ 2009/1b,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence, Indigenous peoples, Livelihoods, Other retaliation (actual or feared)",Outside of mandate
Gilgel Gibe 3,SG/A/2010/01,Project/investment lending,Energy,"Consultation and disclosure, Other environmental",
Gilgel Gibe III Dam,SG/E/2009/01,No IFI involvement,Energy,"Other, Other environmental",Outside of mandate
Gipuzkoa Waste Management Project,SG/E/2010/05,Project/investment lending,Infrastructure,"Due diligence, Other environmental",
Giza North Power Project,85,Project/investment lending,Energy,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution, Water",
Global CyberSoft,no_id_21_55,,Other,Other,Outside of mandate
Globalbix,no_id_21_96,,Other,Other,Outside of mandate
Golden Arrow Resources Corporation: Chinchillas silver project,2013-06-ARG,,"Extractives (oil, gas, mining)","Consultation and disclosure, Indigenous peoples",
Governance Promotion Adjustment Loan,25,Project/investment lending,Regulatory Development,"Other, Other environmental",
Greater Beirut Water Supply Project,71,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Pollution, Water",
Greater Mekong Subregion Southern Economic Corridor Towns Development Project,13,Project/investment lending,Infrastructure,Procurement,"Forwarded to other body within bank, Outside of mandate"
Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,2015/1,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues",Issues previously raised
Groupe OCP - Modernisation,SG/E/2014/11,Project/investment lending,Other,Other,Complaint withdrawn
Guangxi Southwestern Cities Development Project,23,,Infrastructure,Displacement (physical and/or economic),
HIMALI Project,no_id_25_6,Advisory services,Agribusiness,Other,"Outside of mandate, Forwarded to other body within bank"
Haiti Mining Dialogue Technical Assistance,100,Advisory services,"Extractives (oil, gas, mining), Regulatory Development","Biodiversity, Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Other environmental, Water",Other
Hanoi City Urban Railway Construction Project: (Nam Thang Long - Tran Hung Dao Section (Line 2)),vietnam_01,Project/investment lending,Infrastructure,Displacement (physical and/or economic),Unknown
Harmon Hall-01/Mexico,183,Equity Investment,Education,"Labor, Other retaliation (actual or feared)",
Harmon Hall-02/Puerto Vallarta,207,Equity Investment,Education,"Labor, Other",
Harmon Hall-03/ Puerto Vallerta,210,Equity Investment,Education,Labor,
Harmon Hall-04/ Puerto Vallerta,210,Equity Investment,Education,Labor,
Harmon Hall-05/ Puerto Vallerta,210,Equity Investment,Education,Labor,
Harmon Hall-06/ Merida Campestre,210,Equity Investment,Education,Labor,
Harmon Hall-07/San Luis Potosi,215,Equity Investment,Education,Labor,
Harmon Hall-08/Puerto Vallarta,217,Equity Investment,Education,Labor,
Hebei Energy Efficiency Improvement and Emission Reduction Project,no_id_25_34,Project/investment lending,"Conservation and environmental protection, Regulatory Development",Corruption/fraud,"Outside of mandate, Forwarded to other body within bank, Outside of mandate"
Heidelberg Cement,no_id_21_46,,Other,Other,Unknown
Hidromaule-01/San Clemente,226,Project/investment lending,Energy,"Displacement (physical and/or economic), Due diligence",
"Highlands Water Project - Phase 1B, 2nd Request",15,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence, Livelihoods",
Highway Interchange Petlovo Brdo,SG/E/2013/02,Project/investment lending,Infrastructure,Other environmental,
Himachal Pradesh Clean Energy Development Investment Program,9-Feb,Project/investment lending,Energy,"Biodiversity, Due diligence, Livelihoods, Other environmental, Pollution",Good faith requirement not met
Holding Intergas S.A.,no_id_21_8,,Other,Other,Outside of mandate
ICA-01/ Singapore,no_id_21_87,,Other,Other,Unknown
ICL Specialty Chemicals R&D,SG/E/2012/11,Project/investment lending,"Chemicals, Manufacturing",Due diligence,
IFC/BICF Employment,no_id_21_32,,Other,Other,Outside of mandate
IICT-01/ Khatlon region,no_id_21_92,,Other,Other,Unknown
IPP4 Al-Manakher Power Project,2015/02,Project/investment lending,Energy,"Consultation and disclosure, Indigenous peoples, Other community health and safety issues, Other environmental",
Impala Platinum,no_id_21_81,,Other,Other,Unknown
"Improvement of Health Services Delivery at Mulago Hospital and in the City of Kampala, Uganda",RQ 2014/1,Project/investment lending,Healthcare,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence",
Improving Rural Livelihoods through Carbon Sequestration Project,80,Other,"Agribusiness, Conservation and environmental protection",Other,
India High Range Landscape Project,SECU0001,Advisory services,"Conservation and environmental protection, Land reform","Consultation and disclosure, Corruption/fraud, Due diligence, Other",
India Infrastructure Fund-01/Dhenkanal District,165,"Equity Investment, Financial intermediary","Energy, Infrastructure","Consultation and disclosure, Due diligence, Human rights, Other, Other environmental, Pollution, Water",
Indigenous and Afro-Honduran Peoples and Climate Change,MICI-HO-2012-051,,Other,Other,Unknown
Indigenous and Community Biodiversity Project (COINBIO),30,Other,"Community capacity and development, Conservation and environmental protection","Consultation and disclosure, Other",
Information and Communications Technology (ICT) Development Project,no_id_25_50,Project/investment lending,Infrastructure,Procurement,"Forwarded to other body within bank, Outside of mandate"
Infrastructuras de la Nueva Darsena de Cartagena,SG/E/2011/15/INA,,Infrastructure,Due diligence,
Ingenio Montelimar-01/Montelimar Environs,242,Project/investment lending,Agribusiness,"Consultation and disclosure, Displacement (physical and/or economic), Labor, Other community health and safety issues, Other environmental, Other retaliation (actual or feared), Pollution, Water",
Institutional Reform Development Policy Financing,57,Project/investment lending,Regulatory Development,"Consultation and disclosure, Labor, Other",
Integrated Citarum Water Resources Management Investment Program,13/2009,Project/investment lending,"Conservation and environmental protection, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Livelihoods",Good faith requirement not met
Integrated Citarum Water Resources Management Investment Program 2,11-Jan,Project/investment lending,"Conservation and environmental protection, Infrastructure","Displacement (physical and/or economic), Livelihoods",
"Integrated Coastal Zone Management and Clean-Up Project, First Request",47,Project/investment lending,"Conservation and environmental protection, Regulatory Development","Consultation and disclosure, Due diligence, Human rights, Livelihoods, Other community health and safety issues, Property damage, Violence against the community (by gov't and/or company)",
Integrated Disaster and Land Management,101,No IFI involvement,Other,"Displacement (physical and/or economic), Other environmental",Outside of mandate
Integrated Urban Development Project,no_id_25_20,Project/investment lending,Infrastructure,Corruption/fraud,"Outside of mandate, Forwarded to other body within bank, Outside of mandate"
Integrated Urban Development and Social Inclusion Program of Aracaju,MICI-BR-2014-082,,Other,Other,Unknown
Integrated Urban Solid Waste Management,MICI-AR-2015-0084,Project/investment lending,Infrastructure,Other,Outside of mandate
Interagua-01/Guayaquil,84,Risk Guarantee,Infrastructure,"Consultation and disclosure, Human rights, Other, Other community health and safety issues, Pollution, Water",
Itaparica Resettlement and Irrigation Project,9,Project/investment lending,Other,"Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Other environmental",
Jalalpur Irrigation Project,no_id_25_51,Advisory services,"Infrastructure, Other",Procurement,"Complaint withdrawn, Outside of mandate"
Jamuna Multipurpose Bridge Project,8,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods",
Jilin Urban Development Project,no_id_25_38,Project/investment lending,"Infrastructure, Other","Corruption/fraud, Procurement","Forwarded to other body within bank, Outside of mandate, Outside of mandate"
Jopa Villas Project,no_id_22_1,,Infrastructure,Other,Mechanism deemed involvement unnecessary
Jordan Gateway Project Co.-02/Bet Shean Valley,103,Project/investment lending,"Infrastructure, Other","Biodiversity, Cultural heritage, Other environmental, Water",
Jordan Gateway Projects Co.-01/Bet Shean Valley,no_id_21_2,Project/investment lending,"Infrastructure, Other","Biodiversity, Pollution, Water",Filer Issue
Jute Sector Adjustment Credit Project,6,Project/investment lending,"Manufacturing, Regulatory Development","Consultation and disclosure, Displacement (physical and/or economic), Labor, Livelihoods",
KEK-01/Prishtina,no_id_21_59,Advisory services,Energy,"Consultation and disclosure, Due diligence, Labor, Other, Other community health and safety issues, Other environmental, Pollution",
KPK-01/ Kohastan and Shangal Batgram,no_id_21_93,,Other,Other,Unknown
KTK Motorway PPP,SG/E/2011/09,,Other,Other environmental,Unknown
Kalahari Diamond-01/Kalahari,90,Equity Investment,"Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Indigenous peoples",
Karnataka State Highway Improvement Project,no_id_25_9,,Other,Other,Forwarded to other body within bank
Kathmandu Valley Water Supply Improvement Project,no_id_25_1,Project/investment lending,Infrastructure,Other,"Outside of mandate, Forwarded to other body within bank"
Kayogbo Youth Club,no_id_21_26,,Other,Other,Outside of mandate
Kenya Energy Sector Recovery Project,79,Project/investment lending,"Energy, Regulatory Development","Consultation and disclosure, Due diligence, Other community health and safety issues, Other environmental, Pollution, Property damage",
Kerala Sustainable Urban Development Project,1,Project/investment lending,Infrastructure,"Other community health and safety issues, Other environmental",Good faith requirement not met
Kerala Sustainable Urban Development Project 2,12-Feb,Project/investment lending,Infrastructure,"Consultation and disclosure, Other community health and safety issues, Other environmental, Property damage",Good faith requirement not met
Kerala Sustainable Urban Development Project 3,no_id_25_17,Project/investment lending,Infrastructure,Other,"Outside of mandate, Forwarded to other body within bank"
Khulna Water Supply Project,no_id_25_26,Project/investment lending,Infrastructure,Procurement,"Outside of mandate, Forwarded to other body within bank, Outside of mandate"
Khulna-Jessore Drainage Rehabilitation Project,6-Feb,Project/investment lending,"Agribusiness, Infrastructure","Consultation and disclosure, Livelihoods",Project Completion Report issued
Khulna/Shirrajganj 150MW Peaking Power Plant Construction Project,no_id_25_3,,Other,Other,"Outside of mandate, Forwarded to other body within bank"
Konkola Copper Mines Plc (KCM)-01/Ming'omba and Kawama,116,Equity Investment,"Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Other",
Konkola Copper Mines Plc (KCM)-02/ Kawama,no_id_21_36,Equity Investment,"Extractives (oil, gas, mining)",Other,Unknown
Kosovo Power Project (Proposed),78,Risk Guarantee,Energy,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Labor, Livelihoods, Other community health and safety issues, Pollution, Water",
Kreadanza,MICI-VE-2011-012,,Other,Other,Unknown
Kurum Hydro-01/Bradashesh,237,Project/investment lending,"Energy, Manufacturing",Pollution,
LAPSSET Project in Lamu,,,Other,Other,
La Paz Storm Drainage Program II,MICI-BO-2014-079,Project/investment lending,Infrastructure,"Consultation and disclosure, Livelihoods",
Lafarge Surma Cement -01,211,"Equity Investment, Project/investment lending",Manufacturing,"Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other environmental",
Lagos Drainage and Sanitation Project,13,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Violence against the community (by gov't and/or company)",
Lagos Metropolitan Development and Governance Project,91,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",Case closed in earlier stage
Lake Victoria Environmental Management Project,19,Project/investment lending,"Community capacity and development, Conservation and environmental protection","Biodiversity, Consultation and disclosure, Due diligence, Livelihoods, Pollution, Water",
Land Administration Project,38,Project/investment lending,"Land reform, Regulatory Development","Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Human rights, Indigenous peoples",
Land Administration Project (First Request),53,Project/investment lending,Land reform,"Consultation and disclosure, Due diligence, Human rights, Indigenous peoples, Livelihoods",
Land Management and Administration Project,60,Project/investment lending,"Land reform, Regulatory Development","Consultation and disclosure, Displacement (physical and/or economic)",
"Land Reform and Poverty Alleviation Project, 1st Request",14,Project/investment lending,"Agribusiness, Land reform","Consultation and disclosure, Livelihoods, Other",
"Land Reform and Poverty Alleviation Project, 2nd Request",18,Project/investment lending,"Community capacity and development, Land reform","Consultation and disclosure, Livelihoods, Other",
Lanzhou Sustainable Urban Transport Project,no_id_25_30,Project/investment lending,Infrastructure,Procurement,"Outside of mandate, Forwarded to other body within bank, Outside of mandate"
Larnaca Sewerage and Drainage I,SG/E/2012/07,Project/investment lending,Infrastructure,"Due diligence, Other environmental",
Lima Urban Transport Project,61,Project/investment lending,Infrastructure,"Cultural heritage, Due diligence, Other community health and safety issues, Other environmental",
Loan for Dinant Corporation S.A. of C.V.,MICI-HO-2014-077,,Other,Other,Unknown
Lonmin-01/Vice President request,206,"Advisory services, Project/investment lending","Community capacity and development, Extractives (oil, gas, mining)","Labor, Violence against the community (by gov't and/or company)",
Lonmin-02/Marikana,235,"Equity Investment, Project/investment lending","Community capacity and development, Extractives (oil, gas, mining)","Due diligence, Labor, Livelihoods, Other, Other community health and safety issues, Pollution, Water",
Los Gigantes-Dioxitek,no_id_21_23,,Other,Other,Outside of mandate
Low-Income Neighborhood Improvement Program - Habitar Brasil,BR-MICI004-2011,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods",
Lukoil Overseas-01/Berezovka,104,Project/investment lending,"Extractives (oil, gas, mining)","Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Pollution, Water",
Lukoil Overseas-02/Berezovka,105,Project/investment lending,"Extractives (oil, gas, mining)","Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental, Pollution",
Lukoil Overseas-03/Berezovka,74,Project/investment lending,"Extractives (oil, gas, mining)","Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental",
Lydian Intl3-01/Gndevaz & Jermuk,221,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Pollution, Water",
Lydian Intl3-02/Gndevaz,222,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Human rights, Livelihoods, Other community health and safety issues, Pollution",
M11 Gorey to Enniscorthy Road,SG/E/2010/2/INA,,Infrastructure,"Consultation and disclosure, Due diligence",Unknown
MHP-01/Ukraine,no_id_21_62,,Other,Other,Unknown
MOZAL II,SG/E/2010/16,Project/investment lending,Manufacturing,"Consultation and disclosure, Due diligence, Other community health and safety issues, Other environmental, Pollution",
"Madhya Pradesh Water Sector Restructuring Project, 1st request",72,Project/investment lending,"Infrastructure, Regulatory Development","Other community health and safety issues, Pollution, Water",
Mahindra Farm Services-01/Confidential,99,Equity Investment,Agribusiness,"Consultation and disclosure, Livelihoods, Other, Other environmental, Pollution",
Mahindra Farm Services-02/Confidential,99,Equity Investment,Agribusiness,"Consultation and disclosure, Livelihoods, Other, Other environmental, Pollution",
Mahindra Farm Services-03/Confidential,99,Equity Investment,Agribusiness,"Consultation and disclosure, Livelihoods, Other, Other environmental, Pollution",
Mahindra Farm Services-04/Confidential,99,Equity Investment,Agribusiness,"Consultation and disclosure, Livelihoods, Other, Other environmental, Pollution",
Makka Leasing,no_id_21_39,No IFI involvement,Other,Other,Outside of mandate
Maldives Maritime Transport Master Plan,no_id_25_14,Advisory services,Other,Other,"Outside of mandate, Forwarded to other body within bank"
Mallorca Hospital,SG/E/2015/04,Project/investment lending,"Healthcare, Infrastructure","Cultural heritage, Other environmental",
Manila Second Sewerage Project (MSSP),28,Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Pollution, Water",
Manor Care Rossville,no_id_21_60,,Other,Other,Unknown
Maple Energy-01/Nuevo Sucre and Canaan,157,Equity Investment,"Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Gender-based violence, Human rights, Labor, Other community health and safety issues, Pollution, Water",
Marena Renovables Wind Project,MICI-ME-2012-046,,Other,Other,Unknown
Marena Renovables Wind Project 2,ME-MICI002-2012,Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other environmental, Other retaliation (actual or feared)",
Mario Covas Rodoanel - North Section (2011),MICI-BR-2011-034,,Other,Other,Unknown
Mario Covas Rodoanel - Northern Section 2 (2012),MICI-BR-2012-049,,Other,Other,Unknown
Mario Covas Rodoanel - Northern Sections 1 and 2 (2011),BR-MICI005-2011,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence, Other environmental, Pollution, Property damage",
Mario Covas Rodoanel - Western Section (2010),MICI-BR-2010-006,,Other,Other,Unknown
Mario Covas Rodoanel Project - Northern Section (2011),MICI-BR-2011-027,,Other,Other,Unknown
Mario Covas Rodoanel Project - Northern Section (2015),MICI-BR-2015-0088,Project/investment lending,Infrastructure,Other,Outside of mandate
Mario Covas Rodoanel Project - Northern Section - Request II (2015),MICI-BR-2015-0090,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Property damage",Good faith requirement not met
Mario Covas Rodoanel Project - Northern Section 1 (2011),BR-MICI003-2011,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental, Pollution, Water",
Mariscina County Waste Management,SG/E/2013/01,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other, Other community health and safety issues, Other environmental, Pollution, Water",
Marlin-01/Sipacapa,95,Project/investment lending,"Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Indigenous peoples, Other community health and safety issues, Pollution, Violence against the community (by gov't and/or company), Water",
Mauritius Waste Water,SG/E/2013/04/PR,Project/investment lending,Other,Other community health and safety issues,Unknown
McEwen Mining: Los Azules project,2012-03-ARG,,"Extractives (oil, gas, mining)",Other environmental,
Medio Ambiente Water Infrastructure,SG/E/2013/08/PR,,Other,Consultation and disclosure,Unknown
Mediterranean Railway Corridor,SG/E/2014/05/PR,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence",Unknown
Mediterranean Railway Corridor 2,SG/E/2015/03,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence",
Medupi Power Project,RQ 2010/2,Project/investment lending,Energy,"Consultation and disclosure, Livelihoods, Other community health and safety issues, Other environmental, Pollution, Water",
Megaplast,no_id_21_7,,Other,Other,Outside of mandate
Melamchi Water Supply Project,12,Project/investment lending,"Infrastructure, Other","Other, Other community health and safety issues",Good faith requirement not met
Melamchi Water Supply Project (MWSP),4-Jan,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods",
Mexico Cerro de Oro Hydroelectric,mexico-cerro-de-oro-hydroelectric,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Cultural heritage, Due diligence, Human rights, Indigenous peoples, Livelihoods, Other community health and safety issues, Other gender-related issues, Pollution, Water",
Microfinance Investment Vehicles,no_id_21_25,,Other,Other,Outside of mandate
Mindoro Resources-01/Jabonga,176,Equity Investment,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Cultural heritage, Indigenous peoples, Livelihoods, Water",
Mine Closure and Social Mitigation Project,39,Project/investment lending,"Extractives (oil, gas, mining), Regulatory Development","Livelihoods, Property damage",
"Mine Closure, Environment and Socio-Economic Regeneration Project (Not Registered)",88,Project/investment lending,"Extractives (oil, gas, mining)","Other community health and safety issues, Pollution, Property damage, Water",Funding and/or consideration ended
Mining Development and Environmental Control Assistance Project,20,Project/investment lending,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Pollution, Water",
Mining Project,no_id_28_6,,"Extractives (oil, gas, mining)",Other,Filer Issue
MoSE Venice,SG/E/2009/04,Project/investment lending,Infrastructure,"Due diligence, Other environmental",
"Modernization National Civil Registration, Identification, Documentation System",MICI-EC-2013-067,,Other,Other,Unknown
Mongolia Mining Infrastructure Investment Support (P118109) and Mining Infrastructure Investment Support - Additional Financing,102,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Cultural heritage, Due diligence, Livelihoods, Other community health and safety issues, Other environmental, Water",
Montevideo Urban Transportation Program,MICI-UR-2012-047,,Other,Other,Unknown
Montevideo Urban Transportation Program 2,MICI-UR-2013-063,,Other,Other,Unknown
Motorway A-2,SG/E/2009/10,,Infrastructure,Other environmental,
Motorway A-2 2,SG/E/2010/09,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",
Motorways D1,SG/A/2009/04,Project/investment lending,Other,Consultation and disclosure,
Mozal-01/Matola and Maputo,159,"Project/investment lending, Risk Guarantee","Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Other community health and safety issues, Pollution",
Multinational Road Development and Transport Facilitation Programme Within the Manu River Union - Guinea Section,RQ2016/3,,Infrastructure,"Biodiversity, Cultural heritage, Other community health and safety issues, Other environmental, Pollution",
Multiphase Development Infrastructure Program: Support Production in Entre Rios,AR-MICI001-2010,Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Due diligence, Other community health and safety issues",
Multitranche Financing Facility Road Network Development Program,9-Oct,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods",Good faith requirement not met
Mumbai Metro Line 3 Project,india_01,Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Due diligence, Human rights, Other environmental, Pollution","Mechanism deemed involvement unnecessary, Other"
Mumbai Railway Vikas-01/,no_id_21_70,,Other,Other,Unknown
Mumbai Urban Transport Project,32,Project/investment lending,"Infrastructure, Regulatory Development","Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution",
"Mumbai Urban Transport Project, 3rd Request",58,Project/investment lending,Infrastructure,Displacement (physical and/or economic),
Mundra Ultra Mega Power Project,2013/1,Project/investment lending,Energy,"Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Other environmental, Pollution, Water",
Municipal and Regional Infrastructure Loan,SG/E/2012/02,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other community health and safety issues, Property damage",
Municipal and Regional Infrastructure Loan 2,SG/E/2014/10,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence",
N11-N7 Motorway PPP,SG/E/2012/14,Project/investment lending,Infrastructure,Other,
